PC_Timestamp,Pico_Timestamp,Pressure,Temperature,Encoder_Degrees
16:52:34.527,5608985480,101244.000,23.800,92971.273
16:52:34.629,5609087483,101242.000,23.810,92971.844
16:52:34.840,5609298474,101242.000,23.800,92971.844
16:52:34.941,5609399483,101238.000,23.800,93053.328
16:52:35.043,5609501487,101241.000,23.800,93126.414
16:52:35.145,5609603496,101240.000,23.800,93126.414
16:52:35.352,5609809484,101240.000,23.800,93126.555
16:52:35.454,5609912484,101240.000,23.800,93230.055
16:52:35.560,5610014482,101242.000,23.800,93279.375
16:52:35.662,5610120493,101237.000,23.800,93281.406
16:52:35.869,5610327475,101241.000,23.810,93281.430
16:52:35.972,5610429486,101242.000,23.800,93287.000
16:52:36.074,5610532481,101237.000,23.800,93435.086
16:52:36.176,5610634480,101237.000,23.800,93436.250
16:52:36.383,5610841479,101241.000,23.810,93436.250
16:52:36.485,5610943483,101239.000,23.800,93582.773
16:52:36.588,5611045483,101240.000,23.810,93589.672
16:52:36.689,5611147487,101239.000,23.800,93591.000
16:52:36.897,5611354478,101241.000,23.810,93591.000
16:52:36.998,5611456485,101240.000,23.800,93591.000
16:52:37.100,5611558481,101240.000,23.800,93744.789
16:52:37.211,5611661482,101238.000,23.800,93745.844
16:52:37.409,5611866471,101241.000,23.810,93745.844
16:52:37.512,5611969487,101238.000,23.800,93745.844
16:52:37.613,5612071484,101240.000,23.810,93899.562
16:52:37.715,5612173484,101237.000,23.800,93900.695
16:52:37.922,5612380475,101241.000,23.800,93900.672
16:52:38.025,5612482487,101239.000,23.800,94048.758
16:52:38.126,5612584482,101241.000,23.800,94054.195
16:52:38.228,5612686484,101238.000,23.800,94055.492
16:52:38.444,5612893486,101242.000,23.800,94055.469
16:52:38.536,5612994495,101239.000,23.800,94188.398
16:52:38.651,5613109489,101237.000,23.790,94208.664
16:52:38.754,5613212492,101239.000,23.790,94210.266
16:52:38.961,5613419484,101235.000,23.800,94210.266
16:52:39.065,5613522491,101241.000,23.800,94333.352
16:52:39.176,5613625491,101237.000,23.800,94363.266
16:52:39.269,5613726483,101240.000,23.800,94365.023
16:52:39.481,5613939488,101244.000,23.800,94365.023
16:52:39.584,5614041489,101234.000,23.800,94365.023
16:52:39.686,5614144480,101237.000,23.800,94518.516
